[2022-04-22T10:50:12.955] [ERROR] csvReader - Cheese is too ripe!
[2022-04-22T10:51:21.451] [DEBUG] csvReader - Cheese is too ripe!
[2022-04-22T10:57:26.870] [INFO] csvReader - User chose to cancel
[2022-04-22T11:41:16.868] [INFO] csvReader - Program started
[2022-04-22T11:41:16.869] [INFO] csvReader - User chose to see account detail
[2022-04-22T11:41:19.468] [INFO] csvReader - User entered: Rachelle
[2022-04-22T11:41:19.494] [INFO] csvReader - Name is not in account list
[2022-04-22T11:41:19.496] [INFO] csvReader - User chose close out of application without selecting an option
[2022-04-22T11:42:01.544] [INFO] csvReader - Program started
[2022-04-22T11:42:01.548] [INFO] csvReader - Program ended
[2022-04-22T11:43:51.894] [INFO] csvReader - Program started
[2022-04-22T11:43:51.898] [INFO] csvReader - User chose to list all account balances
[2022-04-22T11:43:51.902] [INFO] csvReader - Program ended
[2022-04-22T11:43:51.907] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.910] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.910] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.910] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.911] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.911] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.912] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.912] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.913] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.913] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.913] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.914] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.914] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.914] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.915] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.915] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.916] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.916] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.916] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.917] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.917] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.918] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.918] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.918] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.919] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.919] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.920] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.920] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.920] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.921] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.921] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.921] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.922] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.922] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.923] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.923] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.923] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.924] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.925] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.926] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.926] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.926] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.927] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.927] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.928] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.928] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.928] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.929] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.929] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.930] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.930] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.930] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.931] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.931] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.932] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.932] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.932] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.933] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.933] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.934] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.934] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.934] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.935] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.935] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.935] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.936] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.936] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.936] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.937] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.937] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.937] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.938] [INFO] csvReader - CSV line 1
[2022-04-22T11:43:51.938] [INFO] csvReader - CSV line 1
